time[s],angle[deg],amplitude[mV]
385.42734195,179.726135,-0.125397
385.42736559,180.151794,-0.607386
385.42748467,182.295898,-0.175494
385.42757185,183.865601,-0.383724
385.42768337,185.873596,-0.318221
385.4278951,189.685852,-0.387489
385.427984,191.28656,-0.585349
385.42826812,196.402283,-1.007374
385.4284894,200.386536,-0.182004
385.42858147,202.044312,-0.697048
385.4287065,204.295532,-0.156019
385.42881751,206.294312,-0.589816
385.42897827,209.188904,-0.16826
385.42900556,209.680237,-0.68283
385.42926531,214.357178,-0.224329
385.42942045,217.150574,-0.247489
385.42970441,222.263367,-0.213454
385.43008892,229.186707,-0.205842
385.43617192,338.714111,0.287923
385.43617267,338.7276,0.295483
385.43623909,339.923523,0.29933
385.43634152,341.767822,0.512236
385.4364741,344.154968,0.426953
385.43656264,345.749207,1.092635
385.43675514,349.215271,0.184147
385.4367641,349.376587,0.825835
385.4368695,351.274353,0.452477
385.43689314,351.700012,0.58599
385.43694234,352.585876,0.689628
385.4370606,354.71521,1.349392
385.43719449,357.125977,0.486249
385.43728076,358.679321,1.883859
385.43738324,0.524475,0.6188
385.43749932,2.614563,0.235303
385.43752217,3.026001,0.387343
385.43758362,4.132446,0.623563
385.43761432,4.685181,0.785626
385.43769106,6.066956,0.817042
385.43780115,8.049194,0.501144
385.43791287,10.06073,0.313968
385.43794861,10.704285,0.644915
385.4381089,13.590393,0.246052
385.43811727,13.741089,0.356017
385.43821001,15.410889,0.523745
385.43826002,16.31134,0.618435
385.4384249,19.28009,0.441187
385.43854135,21.376831,0.383718
385.43863731,23.104675,1.255277
385.4387414,24.978821,0.323211
385.43875932,25.301514,0.434882
385.43882086,26.409546,0.769444
385.4389435,28.617737,0.465278
385.4390483,30.5047,0.18878
385.43916064,32.527466,0.590744
385.43933594,35.683838,0.209176
385.4393905,36.666199,0.534469
385.43954475,39.443542,0.420842
385.43965712,41.466858,0.407205
385.43981456,44.301636,0.410847
385.44016275,50.570923,1.536417
385.44046102,55.941467,0.431471
385.8530401,358.532806,0.501767
385.85317736,1.004303,0.885597
385.85330003,3.213104,0.43015
385.85335548,4.211548,2.071368
385.85347855,6.427551,0.452881
385.85353037,7.360596,1.635204
385.85367025,9.879303,0.3593
385.85377683,11.79837,0.131842
385.85383816,12.902679,0.554809
385.85383927,12.922668,0.660335
385.85400336,15.877289,0.490373
385.85421627,19.710938,0.166964
385.8542401,20.140015,0.553083
385.85441281,23.249847,0.199701
385.8545107,25.012451,0.69053
385.8546843,28.138306,0.135647
385.85471112,28.621216,0.219693
385.8547186,28.75589,0.621156
385.85482638,30.696594,0.30168
385.85490127,32.045044,0.570569
385.85505526,34.81781,0.230543
385.85507956,35.255341,0.606611
385.85519837,37.394653,0.380354
385.85540647,41.141693,0.72763
385.85557825,44.234772,0.153653
385.85581401,48.479858,0.368737
385.85603445,52.449097,0.127554
385.8563712,58.512634,0.165998
385.85648596,60.57901,0.604589
385.86220913,163.630493,-0.503026
385.86233092,165.823441,-0.274209
385.86247036,168.334198,-0.262586
385.8625847,170.393005,-0.115681
385.86274662,173.308548,-0.532924
385.86279463,174.173004,-1.113138
385.86295787,177.11232,-0.257232
385.86303722,178.541092,-0.572752
385.86323927,182.179199,-0.247265
385.86327661,182.851547,-0.553484
385.86338891,184.873627,-0.311861
385.86350116,186.894806,-0.249617
385.86361252,188.899948,-0.286854
385.86375773,191.514603,-0.799116
385.86391145,194.282486,-0.681225
385.86420596,199.585434,-1.148713
385.86436428,202.436157,-0.274419
385.86453242,205.463684,-0.357598
385.86476908,209.724991,-0.16032
385.86477015,209.744247,-0.311429
385.86515913,216.74823,-0.177425
385.86570695,226.612289,-0.161898
385.87181626,336.616608,0.14318
385.87187833,337.734253,0.199156
385.87199566,339.846893,0.279558
385.87218011,343.168091,0.318893
385.87220832,343.676056,0.583056
385.87227351,344.849854,0.673688
385.87241498,347.397186,0.425544
385.872425,347.577606,0.73377
385.87258316,350.425415,0.117472
385.87260876,350.886383,0.267945
385.87264428,351.52594,0.551921
385.87272383,352.958344,0.957325
385.87273162,353.098602,1.779507
385.87286426,355.486908,0.496093
385.87290912,356.294678,1.113425
385.87305117,358.852417,0.381729
385.87308486,359.459045,2.142286
385.87320938,1.701151,0.168575
385.87323318,2.129694,0.310576
385.87326691,2.737037,0.335692
385.87336448,4.493884,0.441498
385.87347653,6.511458,0.346429
385.87347738,6.526763,0.408588
385.87362842,9.246391,0.327998
385.87371585,10.820658,1.056495
385.87385948,13.406861,0.551715
385.87386243,13.459979,0.750697
385.87400188,15.970918,0.262149
385.87401997,16.296646,0.61788
385.87412882,18.256601,0.193186
385.87415911,18.802004,0.665448
385.87422518,19.991661,0.703658
385.8743609,22.435438,0.198209
385.87438937,22.948069,0.437773
385.87449156,24.788103,0.132808
385.8745174,25.253378,0.640756
385.87467085,28.016401,0.484902
385.87472627,29.014296,0.811895
385.87486196,31.457531,0.610045
385.87496911,33.386875,0.866193
385.87514522,36.557915,1.488448
385.87534817,40.212234,0.403917
385.87540757,41.281792,0.471921
385.87570188,46.581142,0.456929
385.87586192,49.462826,0.119914
385.87590282,50.199272,0.293651
385.87643397,59.763165,0.43014
385.88221555,163.866379,-0.142149
385.88225391,164.557083,-0.412624
385.88245376,168.155594,-0.237574
385.88260806,170.933914,-0.360149
385.88262602,171.257309,-0.461982
385.88265941,171.858536,-0.509957
385.88276537,173.766449,-0.368144
385.88286701,175.596573,-0.337504
385.88299401,177.883347,-0.58072
385.88311595,180.078995,-0.126442
385.8832088,181.750854,-0.703724
385.88338145,184.859589,-0.453189
385.88349257,186.860428,-1.253935
385.88367473,190.140396,-0.846832
385.88392006,194.557816,-0.365305
385.883988,195.781143,-0.684201
385.8840351,196.629227,-1.18731
385.88414323,198.576218,-0.370663
385.88426167,200.708847,-0.539952
385.8844737,204.526657,-0.187004
385.88451715,205.309021,-0.98425
385.88464028,207.526108,-0.124711
385.88469092,208.437927,-0.319066
385.88495126,213.12561,-0.339902
385.88496996,213.462326,-0.627038
385.88515412,216.77832,-0.119045
385.88542508,221.657227,-0.132933
385.8854731,222.521866,-0.143797
385.88608126,233.472412,-0.406913
385.8918803,337.890015,0.207764
385.89193011,338.786896,0.412075
385.89209995,341.845032,0.29435
385.89219643,343.582245,0.47206
385.89229908,345.430573,0.643305
385.89240191,347.282135,0.548056
385.89243443,347.867676,0.563657
385.89245113,348.168396,0.708997
385.89259063,350.680206,0.377369
385.89266835,352.079651,0.990743
385.89279271,354.318878,1.14609
385.89292612,356.721069,1.493386
385.89301868,358.387695,1.738641
385.89313708,0.519623,0.475318
385.89317183,1.145325,1.230001
385.89328405,3.165955,0.530649
385.89332257,3.859558,0.741328
385.89348365,6.759949,0.804253
385.8936461,9.685028,0.37922
385.89379118,12.297333,0.455782
385.8938779,13.858826,0.57196
385.8939008,14.271149,0.890536
385.89402382,16.486267,0.423948
385.89407853,17.471375,1.608878
385.89430037,21.46582,0.299218
385.89440073,23.272919,0.546074
385.89451166,25.270325,0.310469
385.89452276,25.470184,0.346837
385.89453602,25.708954,0.799972
385.89469181,28.514099,1.194014
385.89479896,30.443451,0.166922
385.89483353,31.065918,0.422144
385.89502362,34.488678,1.393059
385.89518136,37.328949,0.359962
385.89521867,38.000763,1.510092
385.8954943,42.963745,0.149912
385.8959056,50.369629,0.354545
385.89601114,52.269989,0.223006
385.89661821,63.200897,0.194419
385.9021476,162.763184,-0.113688
385.90217865,163.322266,-0.30259
385.90237425,166.844238,-0.492417
385.9024849,168.836609,-0.526378
385.90258924,170.715332,-0.542132
385.9027047,172.794312,-0.20984
385.90272927,173.236694,-0.371273
385.90283032,175.056213,-0.284399
385.90290047,176.319336,-0.744938
385.90301411,178.36554,-0.139951
385.90306532,179.287659,-0.413959
385.90312455,180.354126,-0.43968
385.9032663,182.906494,-0.137786
385.90342604,185.782776,-0.226972
385.90364622,189.747314,-0.232172
385.90372899,191.237671,-0.472929
385.90382546,192.974731,-0.52716
385.90396,195.397278,-0.370578
